,full_name,resale_price,registered_year,engine_capacity,insurance,kms_driven,owner_type,fuel_type,seats,mileage,body_type,city,transmission_type_Automatic,transmission_type_Manual
7939,2020 Maruti Vitara Brezza VXI,10560,2020,1462,Third Party,60000,First Owner,Petrol,5,1703,SUV,Hyderabad,0,1
7940,2020 Renault Triber RXZ BSVI,7680,2020,999,Third Party,30000,First Owner,Petrol,7,20,MUV,Hyderabad,0,1
7941,2015 Fiat Avventura MULTIJET Emotion,5040,2015,1248,Third Party,100000,Second Owner,Diesel,5,205,Hatchback,Hyderabad,0,1
7942,2021 Nissan Magnite XL BSVI,9000,2021,999,Third Party,50000,First Owner,Petrol,5,1875,SUV,Hyderabad,0,1
7944,2020 Mahindra XUV300 W6 BSVI,10200,2020,1197,Third Party,50000,First Owner,Petrol,5,17,SUV,Hyderabad,0,1
7945,2012 BMW 3 Series 320d Prestige,10800,2012,1995,Third Party,70000,First Owner,Diesel,5,1888,Sedan,Hyderabad,1,0
7946,2021 MG Hector Sharp DCT,20400,2021,1451,Third Party,20000,First Owner,Petrol,5,1396,SUV,Hyderabad,1,0
7947,2016 Maruti Swift VXI,6300,2016,1197,Third Party,63313,First Owner,Petrol,5,2238,Hatchback,Hyderabad,0,1
7948,2018 Hyundai Verna VTVT 1.4 EX,9552,2018,1368,Third Party,95933,First Owner,Petrol,5,191,Sedan,Hyderabad,0,1
7949,2019 Hyundai Grand i10 Nios Sportz CRDi,8724,2019,1186,Zero Dep,34348,First Owner,Diesel,5,262,Hatchback,Hyderabad,0,1
7950,2021 Tata Tigor XMA AMT BSVI,8856,2021,1199,Third Party,23818,Second Owner,Petrol,5,196,Sedan,Hyderabad,1,0
7951,2018 Hyundai Grand i10 1.2 Kappa Sportz Option AT,7104,2018,1197,Comprehensive,52704,Second Owner,Petrol,5,189,Hatchback,Hyderabad,1,0
7952,2014 Mahindra XUV500 W8 FWD,9264,2014,2179,Comprehensive,96302,First Owner,Diesel,7,151,SUV,Hyderabad,0,1
7953,2017 Maruti Swift Dzire AMT VDI,8304,2017,1248,Comprehensive,109700,First Owner,Diesel,5,284,Sedan,Hyderabad,1,0
7954,2018 Hyundai Creta 1.6 SX Automatic Diesel,14592,2018,1582,Zero Dep,105405,First Owner,Diesel,5,176,SUV,Hyderabad,1,0
7955,2011 Ford Fiesta Classic 1.4 Duratorq LXI,3000,2011,1399,Third Party,120000,Second Owner,Diesel,5,1968,Sedan,Hyderabad,0,1
7956,2009 Chevrolet Spark 1.0 PS,1440,2009,995,Third Party,80000,First Owner,Petrol,5,16,Hatchback,Hyderabad,0,1
7957,2019 Tata Zest Quadrajet 1.3 75PS XE,7200,2019,1248,Third Party,110000,First Owner,Diesel,5,2295,Sedan,Hyderabad,0,1
7958,2012 Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,9000,2012,2494,Third Party,120000,First Owner,Diesel,7,1299,MUV,Hyderabad,0,1
7959,2011 Volkswagen Vento Petrol Highline,4200,2011,1598,Third Party,60000,Second Owner,Petrol,5,1504,Sedan,Hyderabad,0,1
7960,2020 Maruti SX4 S Cross Delta,10200,2020,1462,Third Party,40000,First Owner,Petrol,5,1855,SUV,Hyderabad,0,1
7962,2020 Mahindra XUV300 W6 BSVI,9720,2020,1197,Third Party,50000,First Owner,Petrol,5,17,SUV,Hyderabad,0,1
7963,2020 Hyundai Venue SX Turbo BSIV,10920,2020,998,Zero Dep,50646,First Owner,Petrol,5,1827,SUV,Hyderabad,0,1
7964,2016 Maruti Celerio VXI AMT,5028,2016,998,Third Party,61337,First Owner,Petrol,5,2668,Hatchback,Hyderabad,1,0
7965,2016 Honda Jazz 1.2 V AT i VTEC,7416,2016,1199,Third Party,54083,Second Owner,Petrol,5,19,Hatchback,Hyderabad,1,0
7966,2015 Maruti Wagon R VXI BS IV,4488,2015,998,Third Party,67993,Second Owner,Petrol,5,2051,Hatchback,Hyderabad,0,1
7967,2022 Maruti Vitara Brezza VXI AT,13619,2022,1462,Third Party,15440,First Owner,Petrol,5,1876,SUV,Hyderabad,1,0
7968,2021 Tata Tiago XT BSVI,6804,2021,1199,Comprehensive,43668,First Owner,Petrol,5,1901,Hatchback,Hyderabad,0,1
7969,2018 Honda Jazz V CVT,7728,2018,1199,Third Party,61710,First Owner,Petrol,5,182,Hatchback,Hyderabad,1,0
7970,2020 Honda City ZX CVT,15372,2020,1498,Third Party,24163,First Owner,Petrol,5,184,Sedan,Hyderabad,1,0
7971,2019 Tata Tiago JTP Petrol,6612,2020,1199,Zero Dep,37919,Second Owner,Petrol,5,2384,Hatchback,Hyderabad,0,1
7972,2016 Hyundai Xcent 1.1 CRDi S,3360,2016,1120,Third Party,120000,Third Owner,Diesel,5,244,Sedan,Hyderabad,0,1
7974,2019 Tata Harrier XZ BSIV,21420,2019,1956,Third Party,70000,First Owner,Diesel,5,17,SUV,Hyderabad,0,1
7975,2019 Hyundai i20 Sportz Plus CVT BSIV,8400,2019,1197,Third Party,30000,Second Owner,Petrol,5,174,Hatchback,Hyderabad,1,0
7976,2020 Honda City V MT,12000,2020,1497,Third Party,70000,First Owner,Petrol,5,174,Sedan,Hyderabad,0,1
7977,2019 Hyundai i20 Asta Option Diesel,8400,2019,1396,Third Party,60000,Second Owner,Diesel,5,2254,Hatchback,Hyderabad,0,1
7978,2008 Ford Fiesta 1.6 SXI Duratec,2400,2008,1596,Third Party,70000,Second Owner,Petrol,5,153,Sedan,Hyderabad,0,1
